id,last_scraped,neighbourhood_group_cleansed,latitude,longitude,room_type,price
13561055,2018/12/16,Victoria,48.41151778,-123.3725501,Entire home/apt,300.00 
13564269,2018/12/16,Juan de Fuca,48.55269519,-124.4169061,Entire home/apt,294.00 
13566544,2018/12/16,Saanich,48.4736403,-123.3970393,Private room,41.00 
13566555,2018/12/16,Victoria,48.41983572,-123.3822067,Entire home/apt,128.00 
13574378,2018/12/16,Southern Gulf Islands,48.85651026,-123.279453,Entire home/apt,141.00 
13588852,2018/12/16,Colwood,48.42387549,-123.5054154,Entire home/apt,104.00 
13590813,2018/12/16,Victoria,48.41116111,-123.3554492,Entire home/apt,94.00 
13618100,2018/12/16,Sooke,48.3898264,-123.6811907,Entire home/apt,174.00 
13618237,2018/12/16,Salt Spring Island,48.79745798,-123.3981617,Entire home/apt,100.00 
13638441,2018/12/16,Victoria,48.4075723,-123.3559015,Entire home/apt,124.00 
13639301,2018/12/16,Juan de Fuca,48.37716638,-123.8062881,Entire home/apt,120.00 
13639314,2018/12/16,Victoria,48.40701756,-123.3549127,Entire home/apt,120.00 
13642243,2018/12/16,Victoria,48.40875081,-123.3520418,Entire home/apt,300.00 
13668118,2018/12/16,Oak Bay,48.41266913,-123.3227161,Private room,70.00 
13672714,2018/12/16,Saanich,48.47892749,-123.348784,Entire home/apt,110.00 
13674531,2018/12/16,Southern Gulf Islands,48.80402284,-123.3195063,Entire home/apt,190.00 
13675792,2018/12/16,View Royal,48.45792273,-123.441036,Private room,50.00 
13676222,2018/12/16,Southern Gulf Islands,48.83367669,-123.2483977,Entire home/apt,124.00 
13686467,2018/12/16,Victoria,48.43060679,-123.3697773,Entire home/apt,86.00 
13688451,2018/12/16,Victoria,48.42845504,-123.3327112,Entire home/apt,66.00 
13694347,2018/12/16,Victoria,48.42021436,-123.3649363,Entire home/apt,219.00 
13696281,2018/12/16,Salt Spring Island,48.86228437,-123.5340171,Entire home/apt,108.00 
13698258,2018/12/16,Sidney,48.65961036,-123.3985573,Entire home/apt,75.00 
13699673,2018/12/16,Salt Spring Island,48.77083379,-123.449342,Entire home/apt,118.00 
13708641,2018/12/16,Victoria,48.42809081,-123.3614583,Entire home/apt,179.00 
13709810,2018/12/16,Victoria,48.4153723,-123.3689038,Entire home/apt,90.00 
13713346,2018/12/16,Southern Gulf Islands,48.80381551,-123.3222425,Entire home/apt,190.00 
13726870,2018/12/16,Langford,48.47190963,-123.5181374,Entire home/apt,150.00 
13731195,2018/12/16,North Saanich,48.6851801,-123.4053467,Entire home/apt,195.00 
13734850,2018/12/16,Esquimalt,48.42766377,-123.406002,Entire home/apt,110.00 
13735635,2018/12/16,Victoria,48.42762055,-123.3639583,Entire home/apt,99.00 
13746826,2018/12/16,Southern Gulf Islands,48.76661526,-123.2537032,Entire home/apt,210.00 
13750224,2018/12/16,Victoria,48.42056773,-123.3629219,Entire home/apt,161.00 
13752656,2018/12/16,Victoria,48.41594632,-123.3306942,Entire home/apt,145.00 
13752769,2018/12/16,Victoria,48.41163206,-123.3443767,Entire home/apt,174.00 
13754092,2018/12/16,Victoria,48.4107069,-123.3563036,Private room,98.00 
13755104,2018/12/16,Saanich,48.48356151,-123.3352782,Private room,40.00 
13761046,2018/12/16,Victoria,48.43432355,-123.3359813,Entire home/apt,199.00 
13761843,2018/12/16,Victoria,48.42981801,-123.370542,Entire home/apt,94.00 
13762460,2018/12/16,Victoria,48.42978023,-123.3629881,Entire home/apt,118.00 
13765204,2018/12/16,Victoria,48.42729232,-123.3683166,Entire home/apt,75.00 
13773136,2018/12/16,Esquimalt,48.42514237,-123.4198613,Private room,80.00 
13782295,2018/12/16,Juan de Fuca,48.36115496,-123.6615615,Entire home/apt,232.00 
13784036,2018/12/16,Salt Spring Island,48.93267933,-123.5933383,Entire home/apt,300.00 
13789121,2018/12/16,Saanich,48.47455074,-123.3156883,Entire home/apt,150.00 
13796847,2018/12/16,Oak Bay,48.43413675,-123.3133641,Entire home/apt,75.00 
13809386,2018/12/16,Victoria,48.42149059,-123.3806768,Entire home/apt,328.00 
13812083,2018/12/16,Juan de Fuca,48.55918123,-124.404177,Entire home/apt,225.00 
13813890,2018/12/16,Salt Spring Island,48.84007922,-123.4904497,Private room,66.00 
13814098,2018/12/16,North Saanich,48.63521306,-123.4629284,Entire home/apt,141.00 
