"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"290","Sooke",48.3787284114837,-123.7328058117,"Private room",1.5,2,"$79.00"
"291","Southern Gulf Islands",48.8795780066993,-123.31913058477,"Entire home/apt",1,1,"$200.00"
"292","Salt Spring Island",48.8503636323316,-123.446443507457,"Entire home/apt",1,2,"$205.00"
"293","Juan de Fuca",48.4385652530531,-124.073675210973,"Entire home/apt",1,3,"$295.00"
"294","Langford",48.4433464395714,-123.532482779288,"Entire home/apt",1.5,2,"$90.00"
"295","Colwood",48.4072001315153,-123.493408384449,"Entire home/apt",1,1,"$80.00"
"296","Southern Gulf Islands",48.7492060733562,-123.217905952173,"Entire home/apt",1,2,"$175.00"
"297","Sidney",48.65637257101,-123.412130796499,"Entire home/apt",1,1,"$80.00"
"298","Oak Bay",48.4248391164376,-123.315732264438,"Entire home/apt",2.5,4,"$300.00"
"299","Victoria",48.4364621005754,-123.389875436181,"Entire home/apt",1.5,3,"$100.00"
"300","Victoria",48.4418440821347,-123.350425274689,"Entire home/apt",1.5,2,"$105.00"
"301","Esquimalt",48.4410850208655,-123.397969750047,"Entire home/apt",1,1,"$71.00"
"302","Salt Spring Island",48.8624636267574,-123.491412042308,"Entire home/apt",1.5,0,"$122.00"
"303","Salt Spring Island",48.8445318246762,-123.501047292671,"Entire home/apt",1,1,"$125.00"
"304","Salt Spring Island",48.8430076105271,-123.499552911089,"Entire home/apt",1,1,"$90.00"
"305","Victoria",48.411620713061,-123.351566759099,"Private room",1.5,1,"$59.00"
"306","Victoria",48.4213869844057,-123.344645095545,"Entire home/apt",1,2,"$150.00"
"307","Saanich",48.4739395461527,-123.390430478403,"Private room",1,1,"$36.00"
"308","Saanich",48.4618495623573,-123.369356441022,"Private room",1,1,"$61.00"
"309","Saanich",48.525449828662,-123.371070682082,"Private room",1,1,"$80.00"
"310","Victoria",48.4128260795134,-123.335947391753,"Entire home/apt",1,1,"$95.00"
"311","Sooke",48.3732374190142,-123.746549121139,"Private room",1,1,"$36.00"
"312","Victoria",48.4105173946221,-123.335734478603,"Entire home/apt",2,2,"$175.00"
"313","Langford",48.4552953582401,-123.488057967614,"Private room",1,1,"$43.00"
"314","Saanich",48.4650172793449,-123.341678384487,"Entire home/apt",1,1,"$95.00"
"315","Salt Spring Island",48.811303519777,-123.492203244053,"Entire home/apt",1,1,"$115.00"
"316","Southern Gulf Islands",48.8296853385124,-123.284242497768,"Entire home/apt",1,1,"$90.00"
"317","Victoria",48.4293646065996,-123.369403782354,"Entire home/apt",1,0,"$90.00"
"318","Victoria",48.4286274217905,-123.370384010918,"Entire home/apt",1,1,"$140.00"
"319","Oak Bay",48.4427457889357,-123.308463827209,"Private room",1,1,"$65.00"
"320","Victoria",48.4148567149456,-123.361577823973,"Entire home/apt",1,1,"$134.00"
"321","Southern Gulf Islands",48.7448178408825,-123.254120890469,"Entire home/apt",1,0,"$155.00"
"322","Victoria",48.4119738910604,-123.355146882636,"Entire home/apt",2,2,"$190.00"
"323","Juan de Fuca",48.4333985947658,-124.06956586665,"Entire home/apt",1,2,"$125.00"
"324","Victoria",48.4180504322721,-123.336809620517,"Entire home/apt",2.5,3,"$299.00"
"325","Salt Spring Island",48.8491876532427,-123.500431871559,"Entire home/apt",3,4,"$526.00"
"326","Saanich",48.4675918667071,-123.411653530518,"Entire home/apt",1,1,"$90.00"
"327","Southern Gulf Islands",48.7402518945343,-123.217701343076,"Entire home/apt",1,2,"$175.00"
"328","Southern Gulf Islands",48.840575486209,-123.25360879108,"Entire home/apt",1,1,"$115.00"
"329","Victoria",48.4215992023183,-123.382216217449,"Private room",1,1,"$70.00"
"330","Victoria",48.4342857467346,-123.383249027001,"Entire home/apt",1,1,"$75.00"
"331","Juan de Fuca",48.3907250213326,-123.934059239468,"Entire home/apt",1,1,"$125.00"
"332","North Saanich",48.6165223602679,-123.404516620511,"Entire home/apt",2.5,3,"$250.00"
"333","Langford",48.4672702706801,-123.506401200464,"Private room",1,1,"$30.00"
"334","Victoria",48.4212619859392,-123.380505760814,"Private room",2,2,"$310.00"
"335","Southern Gulf Islands",48.8514524208266,-123.301709861781,"Entire home/apt",1,2,"$137.00"
"336","Metchosin",48.3908685166673,-123.5010257432,"Entire home/apt",1,1,"$70.00"
"337","Langford",48.4881260259387,-123.545514563396,"Entire home/apt",1,2,"$125.00"
"338","Victoria",48.4212864351184,-123.363605758101,"Entire home/apt",1,0,"$184.00"
"339","Victoria",48.4217910615854,-123.385083096613,"Private room",1,1,"$99.00"
"340","Southern Gulf Islands",48.8796104958062,-123.3240317509,"Entire home/apt",2,4,"$250.00"
"341","Southern Gulf Islands",48.8786833952291,-123.325594716197,"Entire home/apt",1,2,"$165.00"
"342","Saanich",48.5271058365733,-123.433389352973,"Entire home/apt",1,1,"$125.00"
"343","Victoria",48.4164939896034,-123.366640724862,"Entire home/apt",1,1,"$129.00"
"344","Victoria",48.4138189226074,-123.371732511353,"Entire home/apt",2,2,"$220.00"
"345","Victoria",48.4130579448215,-123.373506163607,"Entire home/apt",1,1,"$1,750.00"
"346","Salt Spring Island",48.8552964983794,-123.506911850368,"Entire home/apt",1,1,"$95.00"
"347","Victoria",48.4072089425923,-123.355815414566,"Entire home/apt",1,1,"$80.00"
"348","Victoria",48.4229820187189,-123.364722461272,"Entire home/apt",2,2,"$134.00"
"349","Sidney",48.6671024130773,-123.402096510225,"Entire home/apt",1,1,"$125.00"
"350","Southern Gulf Islands",48.7627468104431,-123.282631908052,"Private room",1,1,"$55.00"
"351","Sidney",48.6418058292239,-123.401927749266,"Entire home/apt",1,0,"$90.00"
"352","Victoria",48.416456039581,-123.358318864398,"Private room",1.5,1,"$47.00"
"353","Esquimalt",48.4217051444686,-123.408370125232,"Entire home/apt",2,4,"$325.00"
"354","Esquimalt",48.4450300438734,-123.401795442732,"Private room",1,1,"$54.00"
"355","Victoria",48.4171106967513,-123.368843944732,"Entire home/apt",2,1,"$100.00"
"356","Saanich",48.5263635028125,-123.437109046685,"Private room",1,1,"$100.00"
"357","Juan de Fuca",48.5542019326087,-124.415733028628,"Entire home/apt",1,1,"$130.00"
"358","Juan de Fuca",48.4249621040985,-124.073724295138,"Entire home/apt",1,2,"$140.00"
"359","Victoria",48.4209193587118,-123.378933592759,"Private room",1,1,"$125.00"
"360","Victoria",48.4261521529089,-123.355026604103,"Private room",1,1,"$75.00"
"361","Victoria",48.4199953326051,-123.378405536296,"Private room",1,1,"$119.00"
"362","North Saanich",48.6331285089533,-123.462163233294,"Private room",1.5,2,"$140.00"
"363","Victoria",48.4299864892895,-123.370642564195,"Entire home/apt",1,0,"$115.00"
"364","Langford",48.4163124504158,-123.518843413668,"Entire home/apt",1,1,"$90.00"
"365","Victoria",48.4238836278836,-123.364000918232,"Entire home/apt",2,2,"$195.00"
"366","Southern Gulf Islands",48.8626160298713,-123.316533240535,"Entire home/apt",1.5,2,"$288.00"
"367","Saanich",48.5301858309457,-123.41699828164,"Entire home/apt",1,1,"$95.00"
"368","Salt Spring Island",48.7708076633888,-123.448452621479,"Private room",1,1,"$155.00"
"369","Victoria",48.4270127934677,-123.355944610205,"Private room",1,1,"$70.00"
"370","Sooke",48.3969119062211,-123.660415106882,"Entire home/apt",1,1,"$70.00"
"371","Sooke",48.395307316958,-123.659402048307,"Private room",1,1,"$68.00"
"372","Sooke",48.3951033662599,-123.658727482926,"Entire home/apt",1,1,"$70.00"
"373","Victoria",48.4297927642165,-123.369078605915,"Entire home/apt",1,1,"$97.00"
"374","Victoria",48.4216629695019,-123.382814451108,"Entire home/apt",1,1,"$68.00"
"375","Langford",48.4569439893034,-123.508240099606,"Private room",1,1,"$140.00"
"376","Victoria",48.4320011650318,-123.391562621387,"Private room",1,2,"$45.00"
