"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"1","Victoria",48.42128,-123.33932,"Private room",1,1,"$487.00"
"2","Colwood",48.4085,-123.50878,"Entire home/apt",1,1,"$92.00"
"3","Victoria",48.42515,-123.33977,"Private room",1,1,"$279.00"
"4","Victoria",48.42106,-123.3634,"Entire home/apt",1,1,"$99.00"
"5","Victoria",48.421,-123.36325,"Entire home/apt",1,2,"$110.00"
"6","Salt Spring Island",48.85918,-123.49396,"Entire home/apt",1,1,"$164.00"
"7","Southern Gulf Islands",48.91177,-123.37735,"Entire home/apt",1,1,"$160.00"
"8","Victoria",48.42859,-123.37026,"Entire home/apt",1,1,"$150.00"
"9","Highlands",48.50617,-123.46399,"Private room",1,2,"$199.00"
"10","Victoria",48.42525,-123.33686,"Entire home/apt",2,2,"$164.00"
"11","Highlands",48.50467,-123.4625,"Private room",1,1,"$69.00"
"12","Highlands",48.50644,-123.46423,"Private room",1,1,"$139.00"
"13","Southern Gulf Islands",48.86711,-123.35027,"Entire home/apt",1,1,"$110.00"
"14","Victoria",48.41213,-123.3319,"Entire home/apt",1,1,"$95.00"
"15","Victoria",48.41535,-123.37037,"Entire home/apt",2.5,3,"$391.00"
"16","Victoria",48.41741,-123.36939,"Entire home/apt",1,1,"$139.00"
"17","Victoria",48.41074,-123.35294,"Entire home/apt",1,2,"$76.00"
"18","Victoria",48.42882,-123.35055,"Entire home/apt",1,1,"$184.00"
"19","Victoria",48.42684,-123.35082,"Private room",1,2,"$249.00"
"20","Victoria",48.41276,-123.36944,"Private room",1,1,"$54.00"
"21","Victoria",48.42967,-123.36237,"Entire home/apt",1,1,"$107.00"
"22","Victoria",48.4419,-123.35661,"Private room",1,1,"$45.00"
"23","Victoria",48.41795,-123.35223,"Entire home/apt",1,1,"$99.00"
"24","Langford",48.41591,-123.51703,"Entire home/apt",1,1,"$109.00"
"25","Victoria",48.42749,-123.36361,"Entire home/apt",1,2,"$109.00"
"26","Victoria",48.40891,-123.33573,"Entire home/apt",1,2,"$150.00"
"27","Victoria",48.4317,-123.32508,"Private room",1,1,"$110.00"
"28","Victoria",48.41107,-123.37675,"Entire home/apt",1,1,"$135.00"
"29","Victoria",48.41263,-123.37702,"Entire home/apt",1,0,"$95.00"
"30","Sidney",48.66178,-123.40366,"Entire home/apt",2,3,"$229.00"
"31","Victoria",48.42611,-123.34047,"Entire home/apt",1,0,"$85.00"
"32","Victoria",48.4249,-123.33928,"Entire home/apt",1,1,"$95.00"
"33","Victoria",48.43066,-123.37843,"Entire home/apt",1,1,"$145.00"
"34","Victoria",48.42641,-123.34648,"Entire home/apt",1,2,"$130.00"
"35","Victoria",48.43183,-123.32669,"Private room",1,1,"$119.00"
"36","Salt Spring Island",48.92753,-123.57295,"Private room",1,1,"$175.00"
"37","North Saanich",48.67278,-123.46604,"Entire home/apt",3,7,"$950.00"
"38","Victoria",48.42416,-123.34062,"Entire home/apt",1,1,"$68.00"
"39","Victoria",48.42598,-123.33982,"Entire home/apt",1,2,"$130.00"
"40","Victoria",48.41292,-123.37774,"Entire home/apt",1,0,"$99.00"
"41","Victoria",48.42223,-123.34636,"Entire home/apt",3,5,"$500.00"
"42","Salt Spring Island",48.9273,-123.57431,"Private room",1,1,"$196.00"
"43","Victoria",48.43936,-123.34842,"Entire home/apt",1,1,"$135.00"
"44","Victoria",48.42641,-123.36922,"Entire home/apt",1,1,"$115.00"
"45","Metchosin",48.35166,-123.55374,"Entire home/apt",1,2,"$200.00"
"46","Saanich",48.45215,-123.41781,"Entire home/apt",1,1,"$76.00"
"47","Victoria",48.42619,-123.33986,"Entire home/apt",1,2,"$80.00"
"48","Victoria",48.44101,-123.35339,"Private room",1.5,1,"$70.00"
"49","Victoria",48.43019,-123.36862,"Entire home/apt",1,1,"$188.00"
"50","Victoria",48.44439,-123.33511,"Entire home/apt",1.5,2,"$249.00"
"51","Esquimalt",48.43875,-123.39495,"Private room",1,1,"$58.00"
"52","Salt Spring Island",48.87961,-123.56984,"Entire home/apt",1,1,"$200.00"
"53","Victoria",48.43492,-123.34064,"Entire home/apt",1,1,"$114.00"
"54","Victoria",48.42624,-123.34019,"Entire home/apt",1,0,"$66.00"
"55","Southern Gulf Islands",48.99371,-123.57915,"Entire home/apt",1,2,"$125.00"
"56","Sooke",48.38672,-123.72408,"Entire home/apt",1,1,"$80.00"
"57","Salt Spring Island",48.76703,-123.45816,"Private room",1,1,"$138.00"
"58","Oak Bay",48.4063,-123.32034,"Entire home/apt",3,3,"$649.00"
"59","Victoria",48.42881,-123.34569,"Private room",1,1,"$90.00"
"60","Victoria",48.4259,-123.34022,"Entire home/apt",1,2,"$135.00"
"61","Victoria",48.41537,-123.35873,"Entire home/apt",1,3,"$249.00"
"62","Victoria",48.41174,-123.37641,"Entire home/apt",1,0,"$107.00"
"63","View Royal",48.45848,-123.42771,"Entire home/apt",1,1,"$110.00"
"64","Southern Gulf Islands",48.7978,-123.30928,"Entire home/apt",1,1,"$150.00"
"65","Oak Bay",48.42759,-123.32123,"Entire home/apt",2,3,"$325.00"
"66","Oak Bay",48.42031,-123.31057,"Entire home/apt",3,4,"$184.00"
"67","Saanich",48.51641,-123.36713,"Entire home/apt",1,2,"$125.00"
"68","Oak Bay",48.41497,-123.31116,"Entire home/apt",3,3,"$180.00"
"69","Salt Spring Island",48.81277,-123.46623,"Entire home/apt",1,3,"$200.00"
"70","Colwood",48.40638,-123.50954,"Entire home/apt",1,1,"$80.00"
"71","Juan de Fuca",48.38136,-123.89777,"Entire home/apt",2,3,"$235.00"
"72","Esquimalt",48.43236,-123.4141,"Entire home/apt",1,1,"$99.00"
"73","Victoria",48.4151,-123.36835,"Private room",1,1,"$88.00"
"74","Saanich",48.45587,-123.38733,"Entire home/apt",1,2,"$95.00"
"75","Saanich",48.47011,-123.40666,"Entire home/apt",3,4,"$289.00"
"76","Saanich",48.45427,-123.33873,"Private room",1,1,"$45.00"
"77","Colwood",48.41901,-123.48414,"Entire home/apt",1,1,"$72.00"
"78","Salt Spring Island",48.76368,-123.45681,"Entire home/apt",1,2,"$150.00"
"79","Esquimalt",48.42739,-123.40176,"Entire home/apt",1,1,"$65.00"
"80","Sidney",48.63568,-123.40512,"Entire home/apt",1,1,"$188.00"
"81","Victoria",48.4145,-123.37753,"Entire home/apt",1,2,"$150.00"
"82","Langford",48.44064,-123.52641,"Entire home/apt",1,2,"$225.00"
"83","Southern Gulf Islands",48.88462,-123.33135,"Entire home/apt",1,2,"$85.00"
"84","Juan de Fuca",48.3936,-123.98067,"Entire home/apt",1,1,"$110.00"
"85","Victoria",48.41501,-123.34893,"Entire home/apt",1,0,"$85.00"
"86","Southern Gulf Islands",48.86649,-123.3509,"Private room",2.5,3,"$500.00"
"87","Victoria",48.42535,-123.35866,"Entire home/apt",1.5,2,"$99.00"
"88","Southern Gulf Islands",48.89011,-123.36244,"Entire home/apt",1,1,"$150.00"
"89","Victoria",48.42455,-123.36021,"Entire home/apt",NA,1,"$101.00"
"90","Victoria",48.42535,-123.34216,"Entire home/apt",1,1,"$106.00"
"91","Victoria",48.42642,-123.35921,"Entire home/apt",1,1,"$141.00"
"92","Victoria",48.42284,-123.35292,"Entire home/apt",1,1,"$99.00"
"93","Victoria",48.4232,-123.35118,"Entire home/apt",1,1,"$105.00"
"94","Victoria",48.4235,-123.35287,"Entire home/apt",1,1,"$76.00"
"95","Victoria",48.4235,-123.35273,"Entire home/apt",1,1,"$103.00"
"96","Victoria",48.41304,-123.36983,"Private room",1,1,"$69.00"
"97","Metchosin",48.39644,-123.49343,"Entire home/apt",1,1,"$180.00"
"98","Oak Bay",48.42141,-123.31723,"Entire home/apt",2,3,"$332.00"
"99","Victoria",48.41071,-123.37145,"Private room",1,1,"$141.00"
"100","Saanich",48.46382,-123.35931,"Entire home/apt",1,2,"$88.00"
"101","Victoria",48.41176,-123.37663,"Entire home/apt",1,0,"$95.00"
"102","Salt Spring Island",48.83343,-123.52491,"Hotel room",1,2,"$190.00"
"103","Victoria",48.41495,-123.36851,"Private room",1,0,"$135.00"
"104","Salt Spring Island",48.82412,-123.53071,"Entire home/apt",1,2,"$275.00"
"105","Victoria",48.4165,-123.37011,"Private room",1,1,"$115.00"
"106","Victoria",48.41973,-123.37587,"Entire home/apt",1,1,"$70.00"
"107","Salt Spring Island",48.89496,-123.53323,"Private room",1,1,"$150.00"
"108","Salt Spring Island",48.89505,-123.53392,"Private room",1,1,"$150.00"
