"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"1","Victoria",48.42108,-123.3389,"Private room",1,2,"$219.00"
"2","Southern Gulf Islands",48.77166,-123.29525,"Entire home/apt",2,3,"$50.00"
"3","Victoria",48.42106,-123.3634,"Entire home/apt",1,1,"$99.00"
"4","Victoria",48.421,-123.36325,"Entire home/apt",1,2,"$110.00"
"5","Salt Spring Island",48.85918,-123.49396,"Entire home/apt",1,1,"$166.00"
"6","Central Saanich",48.58018,-123.46645,"Entire home/apt",2,4,"$400.00"
"7","Southern Gulf Islands",48.91177,-123.37735,"Entire home/apt",1,1,"$160.00"
"8","Victoria",48.41732,-123.36801,"Private room",2.5,1,"$60.00"
"9","Victoria",48.42859,-123.37026,"Entire home/apt",1,1,"$125.00"
"10","Highlands",48.50617,-123.46399,"Private room",1,2,"$199.00"
"11","Victoria",48.42525,-123.33686,"Entire home/apt",2,2,"$166.00"
"12","Victoria",48.42935,-123.37834,"Entire home/apt",1,1,"$140.00"
"13","Highlands",48.50467,-123.4625,"Private room",1,1,"$69.00"
"14","Highlands",48.50644,-123.46423,"Private room",1,1,"$139.00"
"15","Southern Gulf Islands",48.86711,-123.35027,"Entire home/apt",1,1,"$110.00"
"16","Victoria",48.41535,-123.37037,"Entire home/apt",2.5,3,"$364.00"
"17","Victoria",48.41741,-123.36939,"Entire home/apt",1,1,"$119.00"
"18","Victoria",48.41074,-123.35294,"Entire home/apt",1,2,"$76.00"
"19","Victoria",48.42882,-123.35055,"Private room",1,1,"$170.00"
"20","Victoria",48.42684,-123.35082,"Private room",1,2,"$250.00"
"21","Victoria",48.41276,-123.36944,"Private room",1,1,"$54.00"
"22","Victoria",48.42967,-123.36237,"Entire home/apt",1,1,"$107.00"
"23","Victoria",48.4419,-123.35661,"Private room",1,1,"$45.00"
"24","Victoria",48.41795,-123.35223,"Entire home/apt",1,1,"$99.00"
"25","Sooke",48.38375,-123.70692,"Entire home/apt",1,1,"$150.00"
"26","Langford",48.41591,-123.51703,"Entire home/apt",1,1,"$109.00"
"27","Victoria",48.42749,-123.36361,"Entire home/apt",1,2,"$99.00"
"28","Victoria",48.40891,-123.33573,"Entire home/apt",1,2,"$150.00"
"29","Victoria",48.4317,-123.32508,"Private room",1,1,"$110.00"
"30","Victoria",48.41107,-123.37675,"Entire home/apt",1,1,"$148.00"
"31","Victoria",48.41263,-123.37702,"Entire home/apt",1,0,"$119.00"
"32","Sidney",48.66178,-123.40366,"Entire home/apt",2,3,"$348.00"
"33","Victoria",48.42611,-123.34047,"Entire home/apt",1,0,"$109.00"
"34","Victoria",48.4249,-123.33928,"Entire home/apt",1,1,"$68.00"
"35","Victoria",48.43066,-123.37843,"Entire home/apt",1,1,"$0.00"
"36","Victoria",48.42641,-123.34648,"Entire home/apt",1,2,"$170.00"
"37","Victoria",48.43183,-123.32669,"Private room",1,1,"$121.00"
"38","Salt Spring Island",48.92753,-123.57295,"Private room",1,1,"$175.00"
"39","Victoria",48.42416,-123.34062,"Entire home/apt",1,1,"$119.00"
"40","Victoria",48.42598,-123.33982,"Entire home/apt",1,2,"$94.00"
"41","Victoria",48.41292,-123.37774,"Entire home/apt",1,0,"$128.00"
"42","Victoria",48.42223,-123.34636,"Entire home/apt",3,5,"$385.00"
"43","Salt Spring Island",48.9273,-123.57431,"Private room",1,1,"$196.00"
"44","Victoria",48.43936,-123.34842,"Entire home/apt",1,1,"$135.00"
"45","Victoria",48.42641,-123.36922,"Entire home/apt",1,0,"$115.00"
"46","Metchosin",48.35166,-123.55374,"Entire home/apt",1,2,"$200.00"
"47","Saanich",48.45215,-123.41781,"Entire home/apt",1,1,"$76.00"
"48","Victoria",48.42619,-123.33986,"Entire home/apt",1,2,"$148.00"
"49","Victoria",48.44101,-123.35339,"Private room",1.5,1,"$65.00"
"50","Victoria",48.43019,-123.36862,"Entire home/apt",1,1,"$205.00"
"51","Esquimalt",48.43875,-123.39495,"Private room",1,1,"$60.00"
"52","Salt Spring Island",48.87769,-123.56839,"Entire home/apt",1,1,"$225.00"
"53","Salt Spring Island",48.87961,-123.56984,"Entire home/apt",1,1,"$200.00"
"54","Victoria",48.43492,-123.34064,"Entire home/apt",1,1,"$105.00"
"55","Victoria",48.42624,-123.34019,"Entire home/apt",1,0,"$109.00"
"56","Southern Gulf Islands",48.99371,-123.57915,"Entire home/apt",1,2,"$125.00"
"57","Sooke",48.38672,-123.72408,"Entire home/apt",1,1,"$79.00"
"58","Salt Spring Island",48.76703,-123.45816,"Private room",1,1,"$128.00"
"59","Salt Spring Island",48.84301,-123.50058,"Entire home/apt",1,1,"$150.00"
"60","Oak Bay",48.4063,-123.32034,"Entire home/apt",3,3,"$649.00"
"61","Victoria",48.42881,-123.34569,"Private room",1,0,"$90.00"
"62","Saanich",48.46888,-123.39617,"Private room",1.5,1,"$52.00"
"63","Victoria",48.4259,-123.34022,"Entire home/apt",1,2,"$95.00"
"64","Victoria",48.41537,-123.35873,"Entire home/apt",1,3,"$225.00"
"65","Victoria",48.41174,-123.37641,"Entire home/apt",1,0,"$119.00"
"66","View Royal",48.45848,-123.42771,"Entire home/apt",1,1,"$110.00"
"67","Southern Gulf Islands",48.8599,-123.35496,"Entire home/apt",0.5,1,"$110.00"
"68","Southern Gulf Islands",48.7978,-123.30928,"Entire home/apt",1,1,"$150.00"
"69","Oak Bay",48.42759,-123.32123,"Entire home/apt",2,3,"$325.00"
"70","Esquimalt",48.43059,-123.41422,"Entire home/apt",1,2,"$265.00"
"71","Oak Bay",48.42031,-123.31057,"Entire home/apt",3,4,"$185.00"
"72","Saanich",48.51641,-123.36713,"Entire home/apt",1,2,"$125.00"
"73","Oak Bay",48.41497,-123.31116,"Entire home/apt",3,3,"$160.00"
"74","Southern Gulf Islands",48.84813,-123.28952,"Entire home/apt",2,3,"$279.00"
"75","Salt Spring Island",48.81277,-123.46623,"Entire home/apt",1,3,"$200.00"
"76","Colwood",48.40638,-123.50954,"Entire home/apt",1,1,"$79.00"
"77","Victoria",48.42093,-123.38111,"Entire home/apt",1,1,"$99.00"
"78","Juan de Fuca",48.38136,-123.89777,"Entire home/apt",2,3,"$250.00"
"79","Esquimalt",48.43236,-123.4141,"Entire home/apt",1,1,"$99.00"
"80","Victoria",48.4151,-123.36835,"Private room",1,1,"$79.00"
"81","Saanich",48.47011,-123.40666,"Entire home/apt",3,4,"$233.00"
"82","Colwood",48.41911,-123.47826,"Entire home/apt",1,1,"$79.00"
"83","Salt Spring Island",48.76368,-123.45681,"Entire home/apt",1,2,"$150.00"
"84","Esquimalt",48.42739,-123.40176,"Entire home/apt",1,1,"$61.00"
"85","Sidney",48.63568,-123.40512,"Entire home/apt",1,1,"$189.00"
"86","Victoria",48.41554,-123.34413,"Entire home/apt",1,3,"$297.00"
"87","Victoria",48.4145,-123.37753,"Entire home/apt",1,2,"$166.00"
"88","Victoria",48.44506,-123.35619,"Entire home/apt",1,2,"$189.00"
"89","Langford",48.44064,-123.52641,"Entire home/apt",1,2,"$225.00"
"90","Southern Gulf Islands",48.88462,-123.33135,"Entire home/apt",1,2,"$87.00"
"91","Juan de Fuca",48.3936,-123.98067,"Entire home/apt",1,1,"$99.00"
"92","Victoria",48.41501,-123.34893,"Entire home/apt",1,0,"$85.00"
"93","Southern Gulf Islands",48.86649,-123.3509,"Private room",2.5,5,"$400.00"
"94","Esquimalt",48.4307,-123.41354,"Entire home/apt",2,4,"$289.00"
"95","Southern Gulf Islands",48.89011,-123.36244,"Entire home/apt",1,1,"$150.00"
"96","Victoria",48.4188,-123.38094,"Entire home/apt",2,5,"$348.00"
"97","Victoria",48.42535,-123.34216,"Entire home/apt",1,1,"$119.00"
"98","Victoria",48.4232,-123.35118,"Entire home/apt",1,1,"$105.00"
"99","Victoria",48.4235,-123.35287,"Entire home/apt",1,1,"$76.00"
"100","Victoria",48.4235,-123.35273,"Entire home/apt",1,1,"$103.00"
"101","Victoria",48.41304,-123.36983,"Private room",1,1,"$69.00"
"102","Metchosin",48.39644,-123.49343,"Entire home/apt",1,1,"$180.00"
"103","Oak Bay",48.42141,-123.31723,"Entire home/apt",2,3,"$331.00"
"104","Victoria",48.41071,-123.37145,"Private room",1,1,"$140.00"
"105","View Royal",48.46712,-123.42701,"Entire home/apt",1,1,"$140.00"
"106","Victoria",48.41176,-123.37663,"Entire home/apt",1,0,"$119.00"
"107","Victoria",48.41495,-123.36851,"Entire home/apt",1,0,"$135.00"
"108","Victoria",48.43063,-123.3391,"Entire home/apt",1,1,"$121.00"
"109","Salt Spring Island",48.82409,-123.53024,"Entire home/apt",1,1,"$150.00"
"110","Salt Spring Island",48.82412,-123.53071,"Entire home/apt",1,2,"$225.00"
"111","Victoria",48.4165,-123.37011,"Private room",1,1,"$115.00"
"112","Victoria",48.41948,-123.37566,"Entire home/apt",1,1,"$70.00"
"113","Salt Spring Island",48.89496,-123.53323,"Private room",1,1,"$150.00"
"114","Salt Spring Island",48.89505,-123.53392,"Private room",1,1,"$185.00"
"115","Oak Bay",48.40879,-123.32144,"Entire home/apt",2,3,"$340.00"
"116","Colwood",48.43092,-123.51134,"Private room",1,1,"$200.00"
"117","Oak Bay",48.41759,-123.30264,"Entire home/apt",1.5,2,"$109.00"
"118","Southern Gulf Islands",48.80459,-123.31812,"Entire home/apt",1,2,"$200.00"
"119","Saanich",48.44964,-123.36272,"Private room",1,1,"$60.00"
"120","North Saanich",48.67691,-123.48379,"Entire home/apt",1,1,"$175.00"
"121","Victoria",48.42494,-123.36572,"Entire home/apt",1,1,"$115.00"
"122","Saanich",48.45459,-123.38306,"Entire home/apt",1,1,"$60.00"
"123","Victoria",48.41624,-123.36802,"Entire home/apt",1.5,2,"$139.00"
"124","Salt Spring Island",48.75898,-123.41407,"Entire home/apt",1,1,"$99.00"
"125","Saanich",48.45204,-123.42239,"Entire home/apt",1,2,"$99.00"
"126","Southern Gulf Islands",48.86791,-123.28408,"Entire home/apt",1,1,"$99.00"
"127","Saanich",48.45099,-123.36285,"Private room",0,1,"$72.00"
"128","Oak Bay",48.40997,-123.32276,"Private room",1,1,"$79.00"
"129","Southern Gulf Islands",48.87846,-123.32378,"Entire home/apt",1,2,"$200.00"
"130","Victoria",48.42884,-123.37016,"Entire home/apt",1,1,"$70.00"
"131","Victoria",48.43583,-123.35384,"Private room",1,1,"$42.00"
"132","Victoria",48.40669,-123.35122,"Entire home/apt",1,2,"$135.00"
"133","Victoria",48.41521,-123.36856,"Entire home/apt",1,1,"$99.00"
"134","Victoria",48.41617,-123.35987,"Private room",1,1,"$62.00"
"135","Southern Gulf Islands",48.89775,-123.39765,"Entire home/apt",2,3,"$240.00"
"136","Saanich",48.45643,-123.38689,"Private room",1,1,"$56.00"
"137","Victoria",48.41733,-123.36941,"Entire home/apt",1,1,"$128.00"
"138","Salt Spring Island",48.85706,-123.47932,"Entire home/apt",1,1,"$121.00"
"139","Salt Spring Island",48.87042,-123.54718,"Entire home/apt",2,3,"$258.00"
"140","Juan de Fuca",48.40681,-123.35487,"Private room",1,1,"$89.00"
"141","Victoria",48.44446,-123.37567,"Entire home/apt",1,2,"$119.00"
"142","Southern Gulf Islands",48.75421,-123.26956,"Entire home/apt",2.5,6,"$499.00"
"143","Salt Spring Island",48.80827,-123.42976,"Private room",1,1,"$60.00"
"144","North Saanich",48.69565,-123.46011,"Entire home/apt",1,2,"$110.00"
"145","Victoria",48.42653,-123.36859,"Entire home/apt",1,0,"$115.00"
"146","Sooke",48.39252,-123.61752,"Entire home/apt",1,1,"$128.00"
"147","Victoria",48.44943,-123.35379,"Entire home/apt",1,1,"$90.00"
"148","Saanich",48.50248,-123.38874,"Entire home/apt",2,2,"$189.00"
"149","Victoria",48.42629,-123.3628,"Entire home/apt",1,1,"$113.00"
"150","Victoria",48.42285,-123.34151,"Entire home/apt",2,1,"$99.00"
"151","Victoria",48.42899,-123.3631,"Entire home/apt",1,1,"$109.00"
"152","Southern Gulf Islands",48.84491,-123.27776,"Entire home/apt",1,1,"$125.00"
"153","Salt Spring Island",48.83903,-123.49872,"Entire home/apt",1,2,"$144.00"
