"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"1","Victoria",48.4210776306729,-123.33889776546,"Private room",1,2,"$219.00"
"2","Colwood",48.408503263635,-123.508779220218,"Entire home/apt",1,1,"$132.00"
"3","Sidney",48.6505622782516,-123.394854874212,"Private room",NA,1,"$842.00"
"4","Victoria",48.4210648361434,-123.363399504588,"Entire home/apt",1,1,"$100.00"
"5","Victoria",48.4209991063916,-123.363250714343,"Entire home/apt",1,2,"$110.00"
"6","Salt Spring Island",48.8591758121947,-123.493958874822,"Entire home/apt",1,1,"$165.00"
"7","Central Saanich",48.5801782278728,-123.466454215898,"Entire home/apt",2,4,"$350.00"
"8","Southern Gulf Islands",48.9117725828895,-123.377354037302,"Entire home/apt",1,1,"$159.00"
"9","Victoria",48.4183846794819,-123.367262170926,"Entire home/apt",2.5,2,"$200.00"
"10","Victoria",48.4173192952493,-123.368005432174,"Private room",2.5,1,"$60.00"
"11","Victoria",48.4285932826362,-123.370259836322,"Private room",1,1,"$159.00"
"12","Highlands",48.5061681102985,-123.463991653683,"Private room",1,2,"$200.00"
"13","Victoria",48.4252462187554,-123.33686407293,"Entire home/apt",2,2,"$165.00"
"14","Victoria",48.4293472091694,-123.378342223833,"Entire home/apt",1,1,"$140.00"
"15","Highlands",48.5046742808888,-123.462502456555,"Private room",1,1,"$69.00"
"16","Highlands",48.5064434188527,-123.464230622051,"Private room",1,1,"$139.00"
"17","Southern Gulf Islands",48.8671109730825,-123.350272932949,"Entire home/apt",1,1,"$124.00"
"18","Victoria",48.4121285514224,-123.331896077406,"Entire home/apt",1,1,"$89.00"
"19","Victoria",48.4153486713534,-123.370370284684,"Entire home/apt",2.5,3,"$356.00"
"20","Victoria",48.4174114361959,-123.369392931325,"Entire home/apt",1,1,"$119.00"
"21","Victoria",48.4107367699671,-123.352935420779,"Entire home/apt",1,2,"$75.00"
"22","Victoria",48.4288223679196,-123.350551224583,"Entire home/apt",1,1,"$170.00"
