"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"1","Victoria",48.42128,-123.33932,"Private room",1,1,"$487.00"
"2","Southern Gulf Islands",48.77166,-123.29525,"Entire home/apt",2,3,"$50.00"
"3","Colwood",48.4085,-123.50878,"Entire home/apt",1,1,"$91.00"
"4","Victoria",48.42668,-123.3398,"Private room",1,1,"$190.00"
"5","Victoria",48.42587,-123.34002,"Private room",1,1,"$190.00"
"6","Victoria",48.42461,-123.3381,"Private room",1,1,"$109.00"
"7","Victoria",48.42515,-123.33977,"Private room",1,1,"$280.00"
"8","Victoria",48.421,-123.36325,"Entire home/apt",1,2,"$110.00"
"9","Salt Spring Island",48.85918,-123.49396,"Entire home/apt",1,1,"$165.00"
"10","Central Saanich",48.58018,-123.46645,"Entire home/apt",2,4,"$401.00"
"11","Southern Gulf Islands",48.91177,-123.37735,"Entire home/apt",1,1,"$160.00"
"12","Victoria",48.42859,-123.37026,"Entire home/apt",1,1,"$151.00"
"13","Highlands",48.50617,-123.46399,"Private room",1,2,"$199.00"
"14","Victoria",48.42525,-123.33686,"Entire home/apt",2,2,"$165.00"
"15","Victoria",48.42935,-123.37834,"Entire home/apt",1,1,"$140.00"
"16","Highlands",48.50467,-123.4625,"Private room",1,1,"$69.00"
"17","Highlands",48.50644,-123.46423,"Private room",1,1,"$138.00"
"18","Southern Gulf Islands",48.86711,-123.35027,"Entire home/apt",1,1,"$110.00"
"19","Victoria",48.41213,-123.3319,"Entire home/apt",1,1,"$95.00"
"20","Victoria",48.41535,-123.37037,"Entire home/apt",2.5,3,"$396.00"
"21","Victoria",48.41741,-123.36939,"Entire home/apt",1,1,"$138.00"
"22","Victoria",48.41074,-123.35294,"Entire home/apt",1,2,"$75.00"
"23","Victoria",48.42882,-123.35055,"Private room",1,1,"$185.00"
"24","Victoria",48.42684,-123.35082,"Private room",1,2,"$250.00"
"25","Victoria",48.41276,-123.36944,"Private room",1,1,"$54.00"
"26","Victoria",48.42967,-123.36237,"Entire home/apt",1,1,"$108.00"
