"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"1","Victoria",48.42128,-123.33932,"Hotel room",1,1,"$487.00"
"2","Colwood",48.4085,-123.50878,"Entire home/apt",1,1,"$92.00"
"3","Victoria",48.42668,-123.3398,"Private room",1,1,"$189.00"
"4","Victoria",48.42587,-123.34002,"Private room",1,1,"$189.00"
"5","Victoria",48.42461,-123.3381,"Private room",1,1,"$109.00"
"6","Victoria",48.42515,-123.33977,"Private room",1,1,"$279.00"
"7","Victoria",48.42106,-123.3634,"Entire home/apt",1,1,"$100.00"
"8","Victoria",48.421,-123.36325,"Entire home/apt",1,2,"$110.00"
"9","Salt Spring Island",48.85918,-123.49396,"Entire home/apt",1,1,"$165.00"
"10","Southern Gulf Islands",48.91177,-123.37735,"Entire home/apt",1,1,"$160.00"
"11","Victoria",48.42859,-123.37026,"Entire home/apt",1,1,"$150.00"
"12","Highlands",48.50617,-123.46399,"Private room",1,2,"$199.00"
"13","Victoria",48.42525,-123.33686,"Entire home/apt",2,2,"$165.00"
"14","Highlands",48.50467,-123.4625,"Private room",1,1,"$69.00"
"15","Highlands",48.50644,-123.46423,"Private room",1,1,"$140.00"
"16","Southern Gulf Islands",48.86711,-123.35027,"Entire home/apt",1,1,"$110.00"
"17","Victoria",48.41535,-123.37037,"Entire home/apt",2.5,3,"$392.00"
"18","Victoria",48.41741,-123.36939,"Entire home/apt",1,1,"$140.00"
"19","Victoria",48.41074,-123.35294,"Entire home/apt",1,2,"$74.00"
"20","Victoria",48.42882,-123.35055,"Entire home/apt",1,1,"$185.00"
"21","Victoria",48.42684,-123.35082,"Private room",1,2,"$250.00"
"22","Victoria",48.41276,-123.36944,"Private room",1,1,"$55.00"
"23","Victoria",48.42967,-123.36237,"Entire home/apt",1,1,"$106.00"
"24","Victoria",48.4419,-123.35661,"Private room",1,1,"$45.00"
"25","Victoria",48.41795,-123.35223,"Entire home/apt",1,1,"$98.00"
"26","Langford",48.41591,-123.51703,"Entire home/apt",1,1,"$109.00"
"27","Saanich",48.45291,-123.39693,"Entire home/apt",1,1,"$100.00"
"28","Victoria",48.42749,-123.36361,"Entire home/apt",1,2,"$109.00"
"29","Victoria",48.40891,-123.33573,"Entire home/apt",1,2,"$150.00"
"30","Victoria",48.4317,-123.32508,"Private room",1,1,"$110.00"
"31","Victoria",48.41107,-123.37675,"Entire home/apt",1,1,"$136.00"
"32","Victoria",48.41263,-123.37702,"Entire home/apt",1,0,"$94.00"
"33","Sidney",48.66178,-123.40366,"Entire home/apt",2,3,"$230.00"
"34","Victoria",48.42611,-123.34047,"Entire home/apt",1,0,"$85.00"
"35","Victoria",48.4249,-123.33928,"Entire home/apt",1,1,"$94.00"
"36","Victoria",48.43066,-123.37843,"Entire home/apt",1,1,"$145.00"
"37","Victoria",48.42641,-123.34648,"Entire home/apt",1,2,"$130.00"
"38","Victoria",48.43183,-123.32669,"Private room",1,1,"$120.00"
"39","Salt Spring Island",48.92753,-123.57295,"Private room",1,1,"$176.00"
"40","Victoria",48.42416,-123.34062,"Entire home/apt",1,1,"$108.00"
"41","Victoria",48.42598,-123.33982,"Entire home/apt",1,2,"$130.00"
"42","Victoria",48.41292,-123.37774,"Entire home/apt",1,0,"$98.00"
"43","Victoria",48.42223,-123.34636,"Entire home/apt",3,5,"$500.00"
"44","Salt Spring Island",48.9273,-123.57431,"Private room",1,1,"$196.00"
"45","Victoria",48.43936,-123.34842,"Entire home/apt",1,1,"$136.00"
"46","Victoria",48.42703,-123.34751,"Entire home/apt",1,2,"$136.00"
"47","Victoria",48.42641,-123.36922,"Entire home/apt",1,1,"$114.00"
"48","Metchosin",48.35166,-123.55374,"Entire home/apt",1,2,"$199.00"
"49","Saanich",48.45215,-123.41781,"Entire home/apt",1,1,"$74.00"
"50","Victoria",48.42619,-123.33986,"Entire home/apt",1,2,"$136.00"
"51","Victoria",48.44101,-123.35339,"Private room",1.5,1,"$74.00"
"52","Victoria",48.43019,-123.36862,"Entire home/apt",1,1,"$189.00"
"53","Victoria",48.44439,-123.33511,"Entire home/apt",1.5,2,"$250.00"
"54","Esquimalt",48.43875,-123.39495,"Private room",1,1,"$59.00"
"55","Salt Spring Island",48.87769,-123.56839,"Entire home/apt",1,1,"$225.00"
"56","Salt Spring Island",48.87961,-123.56984,"Entire home/apt",1,1,"$199.00"
"57","Victoria",48.43492,-123.34064,"Entire home/apt",1,1,"$114.00"
"58","Victoria",48.42624,-123.34019,"Entire home/apt",1,0,"$66.00"
"59","Southern Gulf Islands",48.99371,-123.57915,"Entire home/apt",1,2,"$125.00"
"60","Sooke",48.38672,-123.72408,"Entire home/apt",1,1,"$80.00"
"61","Salt Spring Island",48.76703,-123.45816,"Private room",1,1,"$138.00"
"62","Oak Bay",48.4063,-123.32034,"Entire home/apt",3,3,"$649.00"
"63","Victoria",48.42881,-123.34569,"Private room",1,0,"$90.00"
"64","Victoria",48.4259,-123.34022,"Entire home/apt",1,2,"$136.00"
