"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"361","Salt Spring Island",48.88662,-123.57393,"Entire home/apt",1,2,"$150.00"
"362","Saanich",48.46057,-123.39229,"Entire home/apt",1,1,"$75.00"
"363","Victoria",48.4101,-123.37271,"Private room",1,1,"$56.00"
"364","Saanich",48.45386,-123.32613,"Entire home/apt",1,1,"$136.00"
"365","Victoria",48.43017,-123.326,"Private room",1,1,"$40.00"
"366","Southern Gulf Islands",48.86861,-123.34131,"Entire home/apt",1,2,"$150.00"
"367","Central Saanich",48.59523,-123.40431,"Private room",1,1,"$70.00"
"368","Central Saanich",48.58573,-123.41863,"Entire home/apt",1,1,"$125.00"
"369","Victoria",48.42897,-123.36994,"Entire home/apt",1,1,"$99.00"
"370","Saanich",48.47424,-123.38999,"Private room",1,1,"$35.00"
"371","Saanich",48.51945,-123.37107,"Entire home/apt",1,1,"$136.00"
"372","Victoria",48.41562,-123.36863,"Private room",1,2,"$145.00"
"373","Saanich",48.4455,-123.39088,"Private room",1,1,"$85.00"
"374","Juan de Fuca",48.36605,-123.68958,"Entire home/apt",2,4,"$220.00"
"375","Langford",48.4399,-123.52683,"Entire home/apt",2,4,"$400.00"
"376","Saanich",48.52111,-123.37101,"Entire home/apt",3,3,"$250.00"
"377","Central Saanich",48.57456,-123.46006,"Entire home/apt",1,1,"$81.00"
"378","Sooke",48.39609,-123.65913,"Private room",1,1,"$68.00"
"379","Victoria",48.42639,-123.36276,"Entire home/apt",1,1,"$149.00"
"380","Victoria",48.42652,-123.36293,"Entire home/apt",2,2,"$158.00"
"381","View Royal",48.45428,-123.44753,"Private room",1,1,"$55.00"
"382","Juan de Fuca",48.57055,-123.4912,"Entire home/apt",1,0,"$125.00"
"383","Victoria",48.42062,-123.37724,"Private room",1,1,"$180.00"
"384","Victoria",48.43729,-123.35046,"Entire home/apt",1,1,"$89.00"
"385","Victoria",48.42591,-123.36155,"Entire home/apt",1,1,"$130.00"
"386","Victoria",48.42783,-123.36267,"Entire home/apt",1,2,"$158.00"
"387","Victoria",48.42766,-123.36314,"Entire home/apt",1,1,"$98.00"
"388","Victoria",48.42792,-123.36161,"Entire home/apt",2,2,"$158.00"
"389","Victoria",48.42659,-123.3615,"Entire home/apt",1,2,"$158.00"
"390","Victoria",48.42604,-123.36287,"Entire home/apt",1,1,"$149.00"
"391","Victoria",48.42783,-123.36266,"Entire home/apt",1,2,"$158.00"
"392","Saanich",48.47249,-123.39607,"Entire home/apt",1,0,"$99.00"
"393","Saanich",48.46251,-123.32466,"Entire home/apt",2,4,"$849.00"
"394","Saanich",48.45427,-123.27265,"Entire home/apt",2.5,5,"$250.00"
"395","Saanich",48.52844,-123.42607,"Private room",0,1,"$136.00"
"396","Juan de Fuca",48.43559,-124.06743,"Entire home/apt",1,1,"$199.00"
"397","Southern Gulf Islands",48.84374,-123.25357,"Entire home/apt",1,2,"$120.00"
"398","Esquimalt",48.44575,-123.40038,"Entire home/apt",1.5,3,"$150.00"
"399","North Saanich",48.61224,-123.43592,"Entire home/apt",2,1,"$60.00"
"400","Southern Gulf Islands",48.87428,-123.32162,"Entire home/apt",1,1,"$171.00"
"401","Saanich",48.44993,-123.32993,"Entire home/apt",1,2,"$200.00"
"402","Saanich",48.48252,-123.39928,"Entire home/apt",1,2,"$136.00"
"403","Victoria",48.41746,-123.37649,"Entire home/apt",1,2,"$83.00"
"404","Salt Spring Island",48.83461,-123.493,"Entire home/apt",1,2,"$146.00"
"405","Victoria",48.4199,-123.38284,"Entire home/apt",1,2,"$115.00"
"406","Esquimalt",48.42378,-123.41222,"Entire home/apt",1,2,"$99.00"
"407","Southern Gulf Islands",48.80884,-123.2802,"Entire home/apt",1,1,"$150.00"
"408","North Saanich",48.68607,-123.40272,"Private room",1,1,"$67.00"
"409","Victoria",48.43912,-123.39171,"Entire home/apt",1,1,"$99.00"
"410","Sooke",48.36759,-123.78338,"Entire home/apt",1.5,1,"$140.00"
"411","Saanich",48.4746,-123.32649,"Entire home/apt",2.5,3,"$180.00"
"412","Victoria",48.44264,-123.35612,"Entire home/apt",2,2,"$250.00"
"413","Victoria",48.40911,-123.35282,"Entire home/apt",1,1,"$95.00"
"414","Central Saanich",48.57617,-123.45604,"Entire home/apt",3,3,"$275.00"
"415","Salt Spring Island",48.85037,-123.50094,"Entire home/apt",1,1,"$150.00"
"416","Victoria",48.42783,-123.36227,"Entire home/apt",1,1,"$149.00"
"417","Victoria",48.42837,-123.36418,"Entire home/apt",1,1,"$109.00"
"418","Esquimalt",48.44799,-123.41518,"Private room",1,1,"$60.00"
"419","Victoria",48.44056,-123.35493,"Private room",1,1,"$68.00"
"420","Saanich",48.48324,-123.31731,"Entire home/apt",1,1,"$158.00"
"421","Salt Spring Island",48.85708,-123.45206,"Entire home/apt",1,1,"$125.00"
"422","Saanich",48.522,-123.36535,"Entire home/apt",1,0,"$99.00"
"423","Salt Spring Island",48.86571,-123.53427,"Entire home/apt",2.5,3,"$120.00"
"424","North Saanich",48.61906,-123.41997,"Entire home/apt",1,2,"$120.00"
"425","Victoria",48.43692,-123.38723,"Private room",1,1,"$74.00"
"426","Saanich",48.46112,-123.38066,"Private room",1,1,"$56.00"
"427","Juan de Fuca",48.38259,-123.90177,"Entire home/apt",1,1,"$180.00"
"428","Highlands",48.49214,-123.50881,"Entire home/apt",1,1,"$175.00"
"429","Victoria",48.42607,-123.36438,"Entire home/apt",1,1,"$145.00"
"430","Saanich",48.53673,-123.3921,"Entire home/apt",1,1,"$89.00"
"431","Victoria",48.41722,-123.34961,"Entire home/apt",1,1,"$85.00"
"432","Saanich",48.46078,-123.35126,"Entire home/apt",3,3,"$360.00"
"433","Victoria",48.43641,-123.35781,"Entire home/apt",1,3,"$150.00"
"434","Esquimalt",48.442,-123.39958,"Private room",1,1,"$90.00"
"435","Victoria",48.42604,-123.34178,"Entire home/apt",1,0,"$105.00"
"436","Esquimalt",48.43593,-123.41445,"Entire home/apt",1,1,"$75.00"
"437","Victoria",48.44084,-123.34721,"Entire home/apt",1,1,"$81.00"
"438","Saanich",48.49179,-123.30647,"Entire home/apt",1,1,"$64.00"
"439","Southern Gulf Islands",48.74631,-123.18221,"Entire home/apt",2,3,"$150.00"
"440","Victoria",48.42769,-123.36886,"Entire home/apt",1,1,"$211.00"
"441","Southern Gulf Islands",48.77689,-123.31681,"Entire home/apt",1,1,"$145.00"
"442","Victoria",48.42981,-123.36912,"Entire home/apt",1,1,"$205.00"
"443","Sooke",48.36654,-123.78188,"Entire home/apt",1,1,"$115.00"
"444","Victoria",48.42821,-123.36925,"Entire home/apt",1,1,"$150.00"
"445","View Royal",48.45965,-123.45147,"Entire home/apt",1,1,"$110.00"
"446","Saanich",48.48189,-123.33449,"Entire home/apt",1,2,"$77.00"
"447","Saanich",48.46063,-123.35273,"Entire home/apt",1,1,"$239.00"
"448","Salt Spring Island",48.76217,-123.45534,"Private room",1,1,"$230.00"
"449","Southern Gulf Islands",48.86748,-123.32566,"Entire home/apt",2.5,2,"$250.00"
"450","Salt Spring Island",48.7607,-123.45504,"Private room",1,1,"$226.00"
"451","Southern Gulf Islands",48.74958,-123.19535,"Entire home/apt",1,1,"$110.00"
"452","Victoria",48.42705,-123.36276,"Entire home/apt",1,1,"$90.00"
"453","Esquimalt",48.42598,-123.41914,"Entire home/apt",1,2,"$120.00"
"454","Victoria",48.41854,-123.37608,"Entire home/apt",1,2,"$99.00"
"455","Victoria",48.42671,-123.3641,"Entire home/apt",1,1,"$75.00"
"456","Sooke",48.39951,-123.69542,"Entire home/apt",1,1,"$75.00"
"457","Victoria",48.42858,-123.36774,"Entire home/apt",1,1,"$120.00"
"458","Victoria",48.42759,-123.36324,"Entire home/apt",1,0,"$81.00"
"459","Juan de Fuca",48.55507,-124.41423,"Entire home/apt",1,1,"$130.00"
"460","Victoria",48.42691,-123.32683,"Entire home/apt",2,3,"$158.00"
"461","Southern Gulf Islands",48.84451,-123.32549,"Entire home/apt",1,3,"$136.00"
"462","Metchosin",48.38917,-123.50395,"Entire home/apt",1,1,"$73.00"
"463","Salt Spring Island",48.87105,-123.49288,"Entire home/apt",1,1,"$145.00"
"464","Victoria",48.42221,-123.33863,"Private room",1,1,"$79.00"
"465","Victoria",48.42977,-123.36944,"Entire home/apt",1,1,"$120.00"
"466","Salt Spring Island",48.89129,-123.50319,"Entire home/apt",1,3,"$158.00"
"467","Saanich",48.46224,-123.35216,"Entire home/apt",1,0,"$189.00"
"468","Victoria",48.42874,-123.36816,"Entire home/apt",1,1,"$120.00"
"469","Central Saanich",48.56325,-123.40273,"Private room",1,2,"$60.00"
"470","Victoria",48.42625,-123.36316,"Entire home/apt",1,1,"$105.00"
"471","North Saanich",48.61745,-123.40657,"Entire home/apt",1,2,"$110.00"
"472","Victoria",48.42106,-123.38006,"Private room",2.5,3,"$403.00"
"473","Saanich",48.44764,-123.39449,"Entire home/apt",1,1,"$81.00"
"474","Esquimalt",48.42715,-123.41777,"Entire home/apt",1,1,"$70.00"
"475","Victoria",48.42708,-123.34954,"Private room",1,1,"$79.00"
"476","Sooke",48.38645,-123.73981,"Entire home/apt",2,2,"$110.00"
"477","Saanich",48.468,-123.35159,"Entire home/apt",1,1,"$62.00"
"478","Saanich",48.46773,-123.33123,"Private room",1,1,"$40.00"
"479","Victoria",48.42995,-123.36769,"Entire home/apt",1,1,"$120.00"
