id,last_scraped,neighbourhood_group_cleansed,latitude,longitude,room_type,price
1591,2019/3/25,Victoria,48.42108,-123.3389,Private room,350.00 
12125,2019/3/25,Southern Gulf Islands,48.77166,-123.29525,Entire home/apt,50.00 
14560,2019/3/25,Colwood,48.4085,-123.50878,Entire home/apt,93.00 
18101,2019/3/25,Victoria,48.42668,-123.3398,Private room,189.00 
18103,2019/3/25,Victoria,48.42587,-123.34002,Private room,189.00 
18106,2019/3/25,Victoria,48.42461,-123.3381,Private room,109.00 
19898,2019/3/25,Victoria,48.42515,-123.33977,Private room,279.00 
54423,2019/3/25,Victoria,48.421,-123.36325,Entire home/apt,110.00 
83515,2019/3/25,Salt Spring Island,48.85918,-123.49396,Entire home/apt,165.00 
121235,2019/3/25,Central Saanich,48.58018,-123.46645,Entire home/apt,400.00 
138163,2019/3/25,Southern Gulf Islands,48.91177,-123.37735,Entire home/apt,160.00 
171904,2019/3/25,Victoria,48.41732,-123.36801,Private room,60.00 
179318,2019/3/25,Victoria,48.42859,-123.37026,Entire home/apt,150.00 
185732,2019/3/25,Highlands,48.50617,-123.46399,Private room,199.00 
193366,2019/3/25,Victoria,48.42525,-123.33686,Entire home/apt,165.00 
200672,2019/3/25,Victoria,48.42935,-123.37834,Entire home/apt,140.00 
201427,2019/3/25,Highlands,48.50467,-123.4625,Private room,68.00 
201441,2019/3/25,Highlands,48.50644,-123.46423,Private room,140.00 
203416,2019/3/25,Southern Gulf Islands,48.86711,-123.35027,Entire home/apt,110.00 
210677,2019/3/25,Victoria,48.41535,-123.37037,Entire home/apt,369.00 
212267,2019/3/25,Victoria,48.41741,-123.36939,Entire home/apt,120.00 
225431,2019/3/25,Victoria,48.41074,-123.35294,Entire home/apt,75.00 
226028,2019/3/25,Victoria,48.42882,-123.35055,Private room,171.00 
226030,2019/3/25,Victoria,48.42684,-123.35082,Private room,250.00 
237053,2019/3/25,Victoria,48.41276,-123.36944,Private room,54.00 
239129,2019/3/25,Victoria,48.42967,-123.36237,Entire home/apt,107.00 
250576,2019/3/25,Victoria,48.4419,-123.35661,Private room,46.00 
259984,2019/3/25,Victoria,48.41795,-123.35223,Entire home/apt,99.00 
306192,2019/3/25,Sooke,48.38375,-123.70692,Entire home/apt,150.00 
326869,2019/3/25,Langford,48.41591,-123.51703,Entire home/apt,109.00 
330706,2019/3/25,Victoria,48.42749,-123.36361,Entire home/apt,109.00 
348606,2019/3/25,Victoria,48.40891,-123.33573,Entire home/apt,150.00 
394086,2019/3/25,Victoria,48.4317,-123.32508,Private room,110.00 
401073,2019/3/25,Victoria,48.41107,-123.37675,Entire home/apt,149.00 
405558,2019/3/25,Victoria,48.41263,-123.37702,Entire home/apt,120.00 
408315,2019/3/25,Sidney,48.66178,-123.40366,Entire home/apt,348.00 
410541,2019/3/25,Victoria,48.42611,-123.34047,Entire home/apt,109.00 
410542,2019/3/25,Victoria,48.4249,-123.33928,Entire home/apt,67.00 
410918,2019/3/25,Victoria,48.43066,-123.37843,Entire home/apt,0.00 
416786,2019/3/25,Victoria,48.42641,-123.34648,Entire home/apt,169.00 
417778,2019/3/25,Victoria,48.43183,-123.32669,Private room,120.00 
449236,2019/3/25,Salt Spring Island,48.92753,-123.57295,Private room,175.00 
461498,2019/3/25,Victoria,48.42416,-123.34062,Entire home/apt,120.00 
461499,2019/3/25,Victoria,48.42598,-123.33982,Entire home/apt,94.00 
463027,2019/3/25,Victoria,48.41292,-123.37774,Entire home/apt,129.00 
466191,2019/3/25,Victoria,48.42223,-123.34636,Entire home/apt,385.00 
472025,2019/3/25,Salt Spring Island,48.9273,-123.57431,Private room,196.00 
479450,2019/3/25,Victoria,48.43936,-123.34842,Entire home/apt,136.00 
499119,2019/3/25,Victoria,48.42641,-123.36922,Entire home/apt,115.00 
512926,2019/3/25,Metchosin,48.35166,-123.55374,Entire home/apt,200.00 
514811,2019/3/25,Saanich,48.45215,-123.41781,Entire home/apt,75.00 
515418,2019/3/25,Victoria,48.42619,-123.33986,Entire home/apt,90.00 
523926,2019/3/25,Victoria,48.44101,-123.35339,Private room,64.00 
528492,2019/3/25,Victoria,48.43019,-123.36862,Entire home/apt,189.00 
532854,2019/3/25,Esquimalt,48.43875,-123.39495,Private room,59.00 
537710,2019/3/25,Salt Spring Island,48.87769,-123.56839,Entire home/apt,226.00 
539214,2019/3/25,Salt Spring Island,48.87961,-123.56984,Entire home/apt,200.00 
555737,2019/3/25,Victoria,48.43492,-123.34064,Entire home/apt,103.00 
559726,2019/3/25,Victoria,48.42624,-123.34019,Entire home/apt,109.00 
561477,2019/3/25,Southern Gulf Islands,48.99371,-123.57915,Entire home/apt,125.00 
571258,2019/3/25,Sooke,48.38672,-123.72408,Entire home/apt,81.00 
594158,2019/3/25,Salt Spring Island,48.76703,-123.45816,Private room,136.00 
611059,2019/3/25,Salt Spring Island,48.84301,-123.50058,Entire home/apt,150.00 
624238,2019/3/25,Oak Bay,48.4063,-123.32034,Entire home/apt,649.00 
635317,2019/3/25,Victoria,48.42881,-123.34569,Private room,90.00 
644821,2019/3/25,Saanich,48.46888,-123.39617,Private room,51.00 
660733,2019/3/25,Victoria,48.4259,-123.34022,Entire home/apt,95.00 
665727,2019/3/25,Victoria,48.41537,-123.35873,Entire home/apt,250.00 
666592,2019/3/25,Victoria,48.41174,-123.37641,Entire home/apt,120.00 
668372,2019/3/25,View Royal,48.45848,-123.42771,Entire home/apt,110.00 
683666,2019/3/25,Southern Gulf Islands,48.8599,-123.35496,Entire home/apt,110.00 
687407,2019/3/25,Southern Gulf Islands,48.7978,-123.30928,Entire home/apt,150.00 
702671,2019/3/25,Oak Bay,48.42759,-123.32123,Entire home/apt,325.00 
704843,2019/3/25,Esquimalt,48.43059,-123.41422,Entire home/apt,265.00 
734855,2019/3/25,Oak Bay,48.42031,-123.31057,Entire home/apt,185.00 
739975,2019/3/25,Saanich,48.51641,-123.36713,Entire home/apt,125.00 
746413,2019/3/25,Oak Bay,48.41497,-123.31116,Entire home/apt,180.00 
757490,2019/3/25,Southern Gulf Islands,48.84813,-123.28952,Entire home/apt,281.00 
765246,2019/3/25,Salt Spring Island,48.81277,-123.46623,Entire home/apt,200.00 
773339,2019/3/25,Colwood,48.40638,-123.50954,Entire home/apt,81.00 
775220,2019/3/25,Juan de Fuca,48.38136,-123.89777,Entire home/apt,250.00 
775418,2019/3/25,Esquimalt,48.43236,-123.4141,Entire home/apt,99.00 
784093,2019/3/25,Victoria,48.4151,-123.36835,Private room,81.00 
811395,2019/3/25,Saanich,48.47011,-123.40666,Entire home/apt,234.00 
813269,2019/3/25,Saanich,48.45427,-123.33873,Private room,46.00 
823111,2019/3/25,Colwood,48.41911,-123.47826,Entire home/apt,81.00 
863030,2019/3/25,Salt Spring Island,48.76368,-123.45681,Entire home/apt,150.00 
870864,2019/3/25,Esquimalt,48.42739,-123.40176,Entire home/apt,60.00 
873616,2019/3/25,Sidney,48.63568,-123.40512,Entire home/apt,189.00 
876406,2019/3/25,Victoria,48.4145,-123.37753,Entire home/apt,165.00 
892692,2019/3/25,Victoria,48.44506,-123.35619,Entire home/apt,189.00 
908514,2019/3/25,Langford,48.44064,-123.52641,Entire home/apt,226.00 
910427,2019/3/25,Southern Gulf Islands,48.88462,-123.33135,Entire home/apt,89.00 
