"","neighbourhood_group_cleansed","latitude","longitude","room_type","bathrooms","bedrooms","price"
"1","Victoria",48.42128,-123.33932,"Private room",1,1,"$487.00"
"2","Southern Gulf Islands",48.77166,-123.29525,"Entire home/apt",2,3,"$50.00"
"3","Colwood",48.4085,-123.50878,"Entire home/apt",1,1,"$92.00"
"4","Victoria",48.42668,-123.3398,"Private room",1,1,"$188.00"
"5","Victoria",48.42587,-123.34002,"Private room",1,1,"$188.00"
"6","Victoria",48.42461,-123.3381,"Private room",1,1,"$109.00"
"7","Victoria",48.42515,-123.33977,"Private room",1,1,"$279.00"
"8","Victoria",48.42106,-123.3634,"Entire home/apt",1,1,"$99.00"
"9","Victoria",48.421,-123.36325,"Entire home/apt",1,2,"$110.00"
"10","Salt Spring Island",48.85918,-123.49396,"Entire home/apt",1,1,"$165.00"
"11","Central Saanich",48.58018,-123.46645,"Entire home/apt",2,4,"$400.00"
"12","Southern Gulf Islands",48.91177,-123.37735,"Entire home/apt",1,1,"$160.00"
"13","Victoria",48.43725,-123.3404,"Entire home/apt",1,3,"$200.00"
"14","Victoria",48.42859,-123.37026,"Entire home/apt",1,1,"$150.00"
"15","Highlands",48.50617,-123.46399,"Private room",1,2,"$199.00"
"16","Victoria",48.42525,-123.33686,"Entire home/apt",2,2,"$165.00"
"17","Victoria",48.42935,-123.37834,"Entire home/apt",1,1,"$140.00"
"18","Highlands",48.50467,-123.4625,"Private room",1,1,"$69.00"
"19","Highlands",48.50644,-123.46423,"Private room",1,1,"$139.00"
"20","Southern Gulf Islands",48.86711,-123.35027,"Entire home/apt",1,1,"$110.00"
"21","Victoria",48.41535,-123.37037,"Entire home/apt",2.5,3,"$386.00"
"22","Victoria",48.41741,-123.36939,"Entire home/apt",1,1,"$139.00"
"23","Victoria",48.41074,-123.35294,"Entire home/apt",1,2,"$75.00"
"24","Victoria",48.42882,-123.35055,"Private room",1,1,"$184.00"
"25","Victoria",48.42684,-123.35082,"Private room",1,2,"$250.00"
"26","Victoria",48.41276,-123.36944,"Private room",1,1,"$54.00"
