id,last_scraped,neighbourhood_group_cleansed,property_type,price
1591,2019-01-27,Victoria,Bed and breakfast,$219.00 
12125,2019-01-27,Southern Gulf Islands,Guesthouse,$50.00 
14560,2019-01-27,Colwood,Condominium,$128.00 
47421,2019-01-27,Victoria,Apartment,$100.00 
54423,2019-01-27,Victoria,Apartment,$110.00 
83515,2019-01-27,Salt Spring Island,Guest suite,$165.00 
121235,2019-01-27,Central Saanich,House,$401.00 
138163,2019-01-27,Southern Gulf Islands,Cabin,$160.00 
171904,2019-01-27,Victoria,House,$59.00 
179318,2019-01-27,Victoria,Loft,$126.00 
185732,2019-01-27,Highlands,House,$200.00 
193366,2019-01-27,Victoria,Guest suite,$165.00 
200672,2019-01-27,Victoria,Apartment,$140.00 
201427,2019-01-27,Highlands,House,$69.00 
201441,2019-01-27,Highlands,House,$139.00 
203416,2019-01-27,Southern Gulf Islands,Cabin,$110.00 
210677,2019-01-27,Victoria,House,$364.00 
212267,2019-01-27,Victoria,House,$119.00 
225431,2019-01-27,Victoria,House,$75.00 
226028,2019-01-27,Victoria,House,$171.00 
226030,2019-01-27,Victoria,House,$250.00 
237053,2019-01-27,Victoria,Bed and breakfast,$54.00 
239129,2019-01-27,Victoria,Loft,$107.00 
250576,2019-01-27,Victoria,House,$45.00 
259984,2019-01-27,Victoria,Apartment,$99.00 
306192,2019-01-27,Sooke,Guesthouse,$149.00 
326869,2019-01-27,Langford,Guest suite,$108.00 
330264,2019-01-27,Saanich,House,$65.00 
330706,2019-01-27,Victoria,Condominium,$99.00 
348606,2019-01-27,Victoria,Guest suite,$149.00 
394086,2019-01-27,Victoria,House,$110.00 
401073,2019-01-27,Victoria,Apartment,$149.00 
405558,2019-01-27,Victoria,Apartment,$119.00 
408315,2019-01-27,Sidney,House,$348.00 
410541,2019-01-27,Victoria,Apartment,$108.00 
410542,2019-01-27,Victoria,Apartment,$67.00 
410918,2019-01-27,Victoria,Condominium,$0.00 
416786,2019-01-27,Victoria,House,$169.00 
417778,2019-01-27,Victoria,House,$120.00 
449236,2019-01-27,Salt Spring Island,Bed and breakfast,$175.00 
461498,2019-01-27,Victoria,Apartment,$119.00 
461499,2019-01-27,Victoria,Apartment,$130.00 
463027,2019-01-27,Victoria,Apartment,$130.00 
466191,2019-01-27,Victoria,House,$385.00 
472025,2019-01-27,Salt Spring Island,Bed and breakfast,$196.00 
479450,2019-01-27,Victoria,Apartment,$115.00 
499119,2019-01-27,Victoria,Loft,$115.00 
512926,2019-01-27,Metchosin,Guesthouse,$200.00 
514811,2019-01-27,Saanich,Apartment,$75.00 
515418,2019-01-27,Victoria,Apartment,$149.00 
523926,2019-01-27,Victoria,House,$70.00 
528492,2019-01-27,Victoria,Apartment,$205.00 
532854,2019-01-27,Esquimalt,House,$59.00 
537710,2019-01-27,Salt Spring Island,Apartment,$225.00 
539214,2019-01-27,Salt Spring Island,Apartment,$200.00 
555737,2019-01-27,Victoria,Guest suite,$104.00 
559726,2019-01-27,Victoria,Apartment,$108.00 
561477,2019-01-27,Southern Gulf Islands,Cabin,$126.00 
571258,2019-01-27,Sooke,Apartment,$81.00 
594158,2019-01-27,Salt Spring Island,Guest suite,$130.00 
611059,2019-01-27,Salt Spring Island,Guesthouse,$149.00 
624238,2019-01-27,Oak Bay,House,$649.00 
644821,2019-01-27,Saanich,House,$52.00 
660733,2019-01-27,Victoria,Apartment,$95.00 
665727,2019-01-27,Victoria,House,$225.00 
666592,2019-01-27,Victoria,Apartment,$119.00 
668372,2019-01-27,View Royal,Guest suite,$110.00 
683666,2019-01-27,Southern Gulf Islands,Camper/RV,$110.00 
687407,2019-01-27,Southern Gulf Islands,Cabin,$149.00 
702671,2019-01-27,Oak Bay,House,$325.00 
704843,2019-01-27,Esquimalt,House,$264.00 
734855,2019-01-27,Oak Bay,House,$185.00 
739975,2019-01-27,Saanich,Guest suite,$126.00 
746413,2019-01-27,Oak Bay,House,$160.00 
