id,last_scraped,neighbourhood_group_cleansed,property_type,price
1591,2018-09-16,Victoria,Bed and breakfast,$219.00 
14560,2018-09-16,Colwood,Condominium,$132.00 
16776,2018-09-16,Sidney,Other,$844.00 
34271,2018-09-16,Salt Spring Island,Bed and breakfast,$110.00 
47421,2018-09-16,Victoria,Apartment,$100.00 
54423,2018-09-16,Victoria,Apartment,$110.00 
83515,2018-09-16,Salt Spring Island,Guest suite,$166.00 
121235,2018-09-16,Central Saanich,House,$349.00 
138163,2018-09-16,Southern Gulf Islands,Cabin,$160.00 
168460,2018-09-16,Victoria,House,$199.00 
171904,2018-09-16,Victoria,House,$60.00 
179318,2018-09-16,Victoria,Loft,$160.00 
185732,2018-09-16,Highlands,House,$199.00 
193366,2018-09-16,Victoria,Guest suite,$166.00 
200672,2018-09-16,Victoria,Apartment,$140.00 
201427,2018-09-16,Highlands,House,$69.00 
201441,2018-09-16,Highlands,House,$140.00 
203416,2018-09-16,Southern Gulf Islands,Cabin,$125.00 
203866,2018-09-16,Victoria,Guest suite,$89.00 
210677,2018-09-16,Victoria,House,$359.00 
212267,2018-09-16,Victoria,House,$119.00 
225431,2018-09-16,Victoria,House,$70.00 
226028,2018-09-16,Victoria,House,$170.00 
226030,2018-09-16,Victoria,House,$250.00 
237053,2018-09-16,Victoria,Bed and breakfast,$89.00 
239129,2018-09-16,Victoria,Loft,$107.00 
250576,2018-09-16,Victoria,House,$50.00 
259984,2018-09-16,Victoria,Apartment,$99.00 
266463,2018-09-16,Juan de Fuca,House,$125.00 
306192,2018-09-16,Sooke,Guesthouse,$150.00 
326869,2018-09-16,Langford,Guest suite,$110.00 
330264,2018-09-16,Saanich,House,$64.00 
330706,2018-09-16,Victoria,Condominium,$149.00 
348606,2018-09-16,Victoria,Guest suite,$150.00 
394086,2018-09-16,Victoria,House,$110.00 
401073,2018-09-16,Victoria,Apartment,$80.00 
405558,2018-09-16,Victoria,Apartment,$112.00 
408315,2018-09-16,Sidney,House,$348.00 
410541,2018-09-16,Victoria,Apartment,$110.00 
410542,2018-09-16,Victoria,Apartment,$119.00 
410918,2018-09-16,Victoria,Condominium,$0.00 
416786,2018-09-16,Victoria,House,$170.00 
417778,2018-09-16,Victoria,House,$120.00 
449236,2018-09-16,Salt Spring Island,Bed and breakfast,$175.00 
455929,2018-09-16,North Saanich,House,$951.00 
461498,2018-09-16,Victoria,Apartment,$119.00 
461499,2018-09-16,Victoria,Apartment,$130.00 
463027,2018-09-16,Victoria,Apartment,$110.00 
466191,2018-09-16,Victoria,House,$385.00 
472025,2018-09-16,Salt Spring Island,Bed and breakfast,$196.00 
477099,2018-09-16,Victoria,Townhouse,$288.00 
479450,2018-09-16,Victoria,Apartment,$115.00 
499085,2018-09-16,Victoria,House,$136.00 
499119,2018-09-16,Victoria,Loft,$115.00 
512926,2018-09-16,Metchosin,Guesthouse,$199.00 
514811,2018-09-16,Saanich,Apartment,$76.00 
515418,2018-09-16,Victoria,Apartment,$80.00 
523926,2018-09-16,Victoria,House,$76.00 
528492,2018-09-16,Victoria,Apartment,$205.00 
532854,2018-09-16,Esquimalt,House,$52.00 
537710,2018-09-16,Salt Spring Island,Apartment,$226.00 
539214,2018-09-16,Salt Spring Island,Apartment,$199.00 
555737,2018-09-16,Victoria,Guest suite,$94.00 
559726,2018-09-16,Victoria,Apartment,$110.00 
561477,2018-09-16,Southern Gulf Islands,Cabin,$125.00 
571258,2018-09-16,Sooke,Apartment,$80.00 
594158,2018-09-16,Salt Spring Island,Guest suite,$129.00 
611059,2018-09-16,Salt Spring Island,Guesthouse,$150.00 
624238,2018-09-16,Oak Bay,House,$649.00 
644821,2018-09-16,Saanich,House,$51.00 
660733,2018-09-16,Victoria,Apartment,$119.00 
665727,2018-09-16,Victoria,House,$175.00 
666592,2018-09-16,Victoria,Apartment,$119.00 
668372,2018-09-16,View Royal,Guest suite,$110.00 
683666,2018-09-16,Southern Gulf Islands,Camper/RV,$110.00 
687407,2018-09-16,Southern Gulf Islands,Cabin,$150.00 
702671,2018-09-16,Oak Bay,House,$325.00 
734855,2018-09-16,Oak Bay,House,$185.00 
