id,last_scraped,neighbourhood_group_cleansed,property_type,price
1591,2019-09-27,Victoria,Bed and breakfast,$487.00 
14560,2019-09-27,Colwood,Condominium,$92.00 
19898,2019-09-27,Victoria,Apartment,$279.00 
47421,2019-09-27,Victoria,Apartment,$99.00 
54423,2019-09-27,Victoria,Apartment,$110.00 
83515,2019-09-27,Salt Spring Island,Guest suite,$164.00 
138163,2019-09-27,Southern Gulf Islands,Cabin,$160.00 
179318,2019-09-27,Victoria,Loft,$150.00 
185732,2019-09-27,Highlands,House,$199.00 
193366,2019-09-27,Victoria,Guest suite,$164.00 
201427,2019-09-27,Highlands,House,$69.00 
201441,2019-09-27,Highlands,House,$139.00 
203416,2019-09-27,Southern Gulf Islands,Cabin,$110.00 
203866,2019-09-27,Victoria,Guest suite,$95.00 
210677,2019-09-27,Victoria,House,$391.00 
212267,2019-09-27,Victoria,House,$139.00 
225431,2019-09-27,Victoria,House,$76.00 
226028,2019-09-27,Victoria,House,$184.00 
226030,2019-09-27,Victoria,House,$249.00 
237053,2019-09-27,Victoria,Bed and breakfast,$54.00 
239129,2019-09-27,Victoria,Loft,$107.00 
250576,2019-09-27,Victoria,House,$45.00 
259984,2019-09-27,Victoria,Apartment,$99.00 
326869,2019-09-27,Langford,Guest suite,$109.00 
330706,2019-09-27,Victoria,Condominium,$109.00 
348606,2019-09-27,Victoria,Guest suite,$150.00 
394086,2019-09-27,Victoria,Guest suite,$110.00 
401073,2019-09-27,Victoria,Apartment,$135.00 
405558,2019-09-27,Victoria,Apartment,$95.00 
408315,2019-09-27,Sidney,House,$229.00 
410541,2019-09-27,Victoria,Apartment,$85.00 
410542,2019-09-27,Victoria,Apartment,$95.00 
410918,2019-09-27,Victoria,Condominium,$145.00 
416786,2019-09-27,Victoria,House,$130.00 
417778,2019-09-27,Victoria,Guest suite,$119.00 
449236,2019-09-27,Salt Spring Island,Bed and breakfast,$175.00 
455929,2019-09-27,North Saanich,House,$950.00 
461498,2019-09-27,Victoria,Apartment,$68.00 
461499,2019-09-27,Victoria,Apartment,$130.00 
463027,2019-09-27,Victoria,Apartment,$99.00 
466191,2019-09-27,Victoria,House,$500.00 
472025,2019-09-27,Salt Spring Island,Bed and breakfast,$196.00 
479450,2019-09-27,Victoria,Apartment,$135.00 
499119,2019-09-27,Victoria,Loft,$115.00 
512926,2019-09-27,Metchosin,Guesthouse,$200.00 
514811,2019-09-27,Saanich,Apartment,$76.00 
515418,2019-09-27,Victoria,Apartment,$80.00 
523926,2019-09-27,Victoria,House,$70.00 
528492,2019-09-27,Victoria,Apartment,$188.00 
531508,2019-09-27,Victoria,House,$249.00 
532854,2019-09-27,Esquimalt,House,$58.00 
539214,2019-09-27,Salt Spring Island,Apartment,$200.00 
555737,2019-09-27,Victoria,Guest suite,$114.00 
559726,2019-09-27,Victoria,Apartment,$66.00 
561477,2019-09-27,Southern Gulf Islands,Cabin,$125.00 
571258,2019-09-27,Sooke,Apartment,$80.00 
594158,2019-09-27,Salt Spring Island,Guest suite,$138.00 
624238,2019-09-27,Oak Bay,House,$649.00 
635317,2019-09-27,Victoria,House,$90.00 
660733,2019-09-27,Victoria,Apartment,$135.00 
665727,2019-09-27,Victoria,House,$249.00 
666592,2019-09-27,Victoria,Apartment,$107.00 
668372,2019-09-27,View Royal,Guest suite,$110.00 
687407,2019-09-27,Southern Gulf Islands,Cabin,$150.00 
702671,2019-09-27,Oak Bay,House,$325.00 
734855,2019-09-27,Oak Bay,House,$184.00 
739975,2019-09-27,Saanich,Guest suite,$125.00 
746413,2019-09-27,Oak Bay,House,$180.00 
765246,2019-09-27,Salt Spring Island,Cabin,$200.00 
773339,2019-09-27,Colwood,Apartment,$80.00 
775220,2019-09-27,Juan de Fuca,House,$235.00 
775418,2019-09-27,Esquimalt,Guest suite,$99.00 
784093,2019-09-27,Victoria,Bed and breakfast,$88.00 
796027,2019-09-27,Saanich,Bungalow,$95.00 
811395,2019-09-27,Saanich,House,$289.00 
813269,2019-09-27,Saanich,House,$45.00 
823111,2019-09-27,Colwood,Guest suite,$72.00 
863030,2019-09-27,Salt Spring Island,Cabin,$150.00 
870864,2019-09-27,Esquimalt,Apartment,$65.00 
873616,2019-09-27,Sidney,Guest suite,$188.00 
876406,2019-09-27,Victoria,Bungalow,$150.00 
